GeneID	Plate	Well	Score	RSARank	ScoreRank	PValue	RSAHit	#HitWell	#TotalWell	%HitWell	i.GeneID	GeneSymbol	siRNAID	Flag	Flag2
79823	1	P01	18.71	1	45	0.000146248737904398	1	3	3	100	79823	C2orf34	s36416	TRUE	TRUE
79823	2	P01	17.09	2	58	0.000146248737904398	1	3	3	100	79823	C2orf34	s36414	TRUE	TRUE
79823	3	P01	10.14	3	151	0.000146248737904398	1	3	3	100	79823	C2orf34	s36415	TRUE	TRUE
23636	8	A02	15.27	4	74	0.000167694565987589	1	3	3	100	23636	NUP62	s24249	TRUE	TRUE
23636	7	A02	14.66	5	87	0.000167694565987589	1	3	3	100	23636	NUP62	s24248	TRUE	TRUE
23636	6	A02	9.26	6	158	0.000167694565987589	1	3	3	100	23636	NUP62	s24247	TRUE	TRUE
27243	8	P01	28.88	7	22	0.000283367508818664	1	3	3	100	27243	CHMP2A	s26029	TRUE	TRUE
27243	6	P01	25.21	8	28	0.000283367508818664	1	3	3	100	27243	CHMP2A	s26027	TRUE	TRUE
27243	7	P01	7.34	9	188	0.000283367508818664	1	3	3	100	27243	CHMP2A	s26028	TRUE	TRUE
4236	7	O22	23.41	10	35	0.000395609368765367	1	3	3	100	4236	MFAP1	s8707	TRUE	TRUE
4236	8	O22	13.18	11	108	0.000395609368765367	1	3	3	100	4236	MFAP1	s8708	TRUE	TRUE
4236	6	O22	6.4	12	209	0.000395609368765367	1	3	3	100	4236	MFAP1	s8706	TRUE	TRUE
29781	8	A11	6.67	13	201	0.000824831701380376	1	3	3	100	29781	NCAPH2	s26586	TRUE	TRUE
29781	7	A11	6.34	14	213	0.000824831701380376	1	3	3	100	29781	NCAPH2	s26585	TRUE	TRUE
29781	6	A11	4.64	15	267	0.000824831701380376	1	3	3	100	29781	NCAPH2	s26584	TRUE	TRUE
10569	6	N05	24.89	16	29	0.00092102474653814	1	3	3	100	10569	SLU7	s20740	TRUE	TRUE
10569	7	N05	17.19	17	56	0.00092102474653814	1	3	3	100	10569	SLU7	s20741	TRUE	TRUE
10569	8	N05	4.35	18	277	0.00092102474653814	1	3	3	100	10569	SLU7	s20742	TRUE	TRUE
91646	5	A02	28.97	19	21	0.00180914479459319	1	2	3	67	91646	TDRD12	s229938	TRUE	TRUE
91646	5	B01	15.53	20	71	0.00180914479459319	1	2	3	67	91646	TDRD12	s229937	TRUE	TRUE
11284	7	P21	4.71	21	262	0.00259038957490624	1	3	3	100	11284	PNKP	s22287	TRUE	TRUE
11284	6	P21	4.2	22	283	0.00259038957490624	1	3	3	100	11284	PNKP	s22286	TRUE	TRUE
11284	8	P21	2.62	23	391	0.00259038957490624	1	3	3	100	11284	PNKP	s22288	TRUE	TRUE
9524	8	O20	6.42	24	208	0.00267070645145839	1	3	3	100	9524	TECR	s18271	TRUE	TRUE
9524	7	O20	4.25	25	282	0.00267070645145839	1	3	3	100	9524	TECR	s18270	TRUE	TRUE
