GeneID	GeneSymbol	median_score
79073	TMEM109	-5.9
10867	TSPAN9	-3.48
51522	TMEM14C	-2.65
112885	PHF21B	-2.32
158880	USP51	-2.02
84790	TUBA1C	-1.85
7112	TMPO	-1.84
23409	SIRT4	-1.68
90523	MLIP	-1.675
545	ATR	-1.67
29058	TMEM230	-1.56
5685	PSMA4	-1.48
51592	TRIM33	-1.47
8359	HIST1H4A	-1.47
126668	TDRD10	-1.46
5002	SLC22A18	-1.43
23468	CBX5	-1.42
151636	DTX3L	-1.37
3687	ITGAX	-1.34
10274	STAG1	-1.3
7586	ZKSCAN1	-1.29
400966	RGPD1	-1.26
340061	TMEM173	-1.25
23345	SYNE1	-1.23
56980	PRDM10	-1.23
93380	MMGT1	-1.22
9219	MTA2	-1.2
51588	PIAS4	-1.2
9678	PHF14	-1.2
7324	UBE2E1	-1.19
23306	TMEM194A	-1.17
5337	PLD1	-1.14
387103	C6orf173	-1.12
84181	CHD6	-1.1
56926	NCLN	-1.07
2280	FKBP1A	-1.03
23013	SPEN	-1.03
9757	KMT2B	-1.03
3839	KPNA3	-1.03
10970	CKAP4	-1.02
23780	APOL2	-1.02
29072	SETD2	-1.01
6594	SMARCA1	-0.99
3895	KTN1	-0.99
8202	NCOA3	-0.98
23309	SIN3B	-0.98
63977	PRDM15	-0.97
56981	PRDM11	-0.97
1059	CENPB	-0.95
57634	EP400	-0.94
991	CDC20	-0.94
6601	SMARCC2	-0.94
25978	CHMP2B	-0.93
6595	SMARCA2	-0.91
80342	TRAF3IP3	-0.9
10982	MAPRE2	-0.9
4000	LMNA	-0.89
7703	PCGF2	-0.89
79831	JMJD5	-0.89
8986	RPS6KA4	-0.88
79813	EHMT1	-0.87
6811	STX5	-0.87
8242	JARID1C	-0.86
7466	WFS1	-0.83
221496	LEMD2	-0.81
23516	SLC39A14	-0.79
25840	METTL7A	-0.79
26147	PHF19	-0.79
4927	NUP88	-0.78
6749	SSRP1	-0.78
5902	RANBP1	-0.78
23246	BOP1	-0.78
57552	AADACL1	-0.78
23310	NCAPD3	-0.77
22976	PAXIP1	-0.77
55151	TMEM38B	-0.77
6596	HLTF	-0.77
55818	JMJD1A	-0.76
199953	TMEM201	-0.76
90268	FAM105B	-0.76
10336	PCGF3	-0.76
29994	BAZ2B	-0.76
7175	TPR	-0.75
22908	SACM1L	-0.74
6880	TAF9	-0.73
84814	PPAPDC3	-0.73
9575	CLOCK	-0.73
26502	NARF	-0.72
29947	DNMT3L	-0.72
8878	SQSTM1	-0.72
148581	UBE2U	-0.72
23613	ZMYND8	-0.7
79828	METTL8	-0.7
64327	LMBR1	-0.7
23244	PDS5A	-0.7
5431	POLR2B	-0.69
2122	EVI1	-0.69
51547	SIRT7	-0.68
10474	TADA3	-0.68
55869	HDAC8	-0.67
115290	FBXO17	-0.66
51105	PHF20L1	-0.66
6597	SMARCA4	-0.66
7403	UTX	-0.66
9426	CDY2A	-0.66
55585	UBE2Q1	-0.65
6877	TAF5	-0.65
10195	ALG3	-0.65
10857	PGRMC1	-0.65
8815	BANF1	-0.64
163183	SYNE4	-0.64
10075	HUWE1	-0.64
84108	PCGF6	-0.63
9748	SLK	-0.63
1468	SLC25A10	-0.61
1962	EHHADH	-0.61
6883	TAF12	-0.61
27127	SMC1B	-0.61
22955	SCMH1	-0.61
6046	BRD2	-0.61
64324	NSD1	-0.61
8930	MBD4	-0.61
25777	SUN2	-0.6
373509	USP50	-0.6
23512	SUZ12	-0.6
57132	CHMP1B	-0.6
6881	TAF10	-0.59
22823	MTF2	-0.59
55274	PHF10	-0.58
165918	RNF168	-0.58
472	ATM	-0.58
1386	ATF2	-0.57
3065	HDAC1	-0.57
57122	NUP107	-0.57
11198	SUPT16H	-0.57
8379	MAD1L1	-0.56
27349	MCAT	-0.56
55904	KMT2E	-0.56
29095	ORMDL2	-0.56
10318	TNIP1	-0.56
5119	CHMP1A	-0.56
6602	SMARCD1	-0.56
22845	DOLK	-0.55
53371	NUP54	-0.55
3066	HDAC2	-0.55
3836	KPNA1	-0.55
56262	LRRC8A	-0.55
29028	ATAD2	-0.54
51131	PHF11	-0.54
6612	SUMO3	-0.53
83746	L3MBTL2	-0.53
55063	ZCWPW1	-0.52
80854	SETD7	-0.52
57332	CBX8	-0.51
4001	LMNB1	-0.51
203547	NA	-0.5
4673	NAP1L1	-0.5
23424	TDRD7	-0.5
4299	AFF1	-0.5
23633	KPNA6	-0.5
221037	JMJD1C	-0.5
9499	MYOT	-0.49
5926	ARID4A	-0.49
114882	OSBPL8	-0.49
57136	APMAP	-0.49
11022	TDRKH	-0.48
92421	CHMP4C	-0.47
9866	TRIM66	-0.47
10038	PARP2	-0.47
51720	UIMC1	-0.47
116143	WDR92	-0.47
5885	RAD21	-0.46
8284	JARID1D	-0.46
79903	NAA60	-0.46
353238	PADI6	-0.46
639	PRDM1	-0.46
117143	TADA1L	-0.45
1106	CHD2	-0.45
27443	CECR2	-0.45
84656	NA	-0.45
84312	BRMS1L	-0.45
5355	PLP2	-0.45
9869	SETDB1	-0.44
23339	VPS39	-0.44
1387	CREBBP	-0.44
84065	TMEM222	-0.44
9425	CDYL	-0.43
64151	NCAPG	-0.43
57673	BEND3	-0.43
10734	STAG3	-0.43
29128	UHRF1	-0.42
9870	AREL1	-0.42
205564	SENP5	-0.42
26984	SEC22A	-0.42
100101267	POM121C	-0.42
93349	SP140L	-0.42
11105	PRDM7	-0.42
9767	PHF16	-0.41
9070	ASH2L	-0.41
23408	SIRT5	-0.41
5579	PRKCB	-0.41
79023	NUP37	-0.4
10948	STARD3	-0.4
444	ASPH	-0.4
6500	SKP1	-0.4
3015	H2AFZ	-0.39
151194	FAM119A	-0.39
51460	SFMBT1	-0.39
51773	RSF1	-0.39
254013	C12orf72	-0.39
80218	NAA50	-0.38
128817	CSTL1	-0.38
11161	C14orf1	-0.38
30	ACAA1	-0.38
5110	PCMT1	-0.38
9482	STX8	-0.38
1789	DNMT3B	-0.38
10419	PRMT5	-0.38
22933	SIRT2	-0.37
80314	EPC1	-0.37
59335	PRDM12	-0.37
10771	ZMYND11	-0.37
158358	KIAA2026	-0.37
7158	TP53BP1	-0.37
6839	SUV39H1	-0.37
57680	CHD8	-0.36
79960	PHF17	-0.36
5630	PRPH	-0.36
254065	BRWD3	-0.36
51026	GOLT1B	-0.35
114826	SMYD4	-0.35
10498	CARM1	-0.35
201562	PTPLB	-0.34
23399	DULLARD	-0.34
1105	CHD1	-0.34
5252	PHF1	-0.33
2033	EP300	-0.33
375056	MIA3	-0.33
84928	TMEM209	-0.33
51548	SIRT6	-0.33
23466	CBX6	-0.33
23522	KAT6B	-0.32
64754	SMYD3	-0.32
2140	EYA3	-0.32
84148	MYST1	-0.32
11177	BAZ1A	-0.32
23137	SMC5	-0.32
147007	TMEM199	-0.31
23047	PDS5B	-0.31
5897	RAG2	-0.31
8110	DPF3	-0.3
163589	TDRD5	-0.3
51322	WAC	-0.3
9682	KDM4A	-0.3
54093	SETD4	-0.3
10919	EHMT2	-0.3
