GeneID	Plate	Well	Score	RSARank	ScoreRank	PValue	RSAHit	#HitWell	#TotalWell	%HitWell	i.GeneID	GeneSymbol	siRNAID	Flag	Flag2
4085	6	K14	-5.01	1	91	0.000101945491181845	1	3	3	100	4085	MAD2L1	s8391	TRUE	TRUE
4085	8	K14	-4.73	2	103	0.000101945491181845	1	3	3	100	4085	MAD2L1	s8393	TRUE	TRUE
4085	7	K14	-3.86	3	134	0.000101945491181845	1	3	3	100	4085	MAD2L1	s8392	TRUE	TRUE
701	6	K19	-6.17	4	77	0.000152177210232872	1	3	3	100	701	BUB1B	s259	TRUE	TRUE
701	8	K19	-4.33	5	118	0.000152177210232872	1	3	3	100	701	BUB1B	s261	TRUE	TRUE
701	7	K19	-3.62	6	153	0.000152177210232872	1	3	3	100	701	BUB1B	s260	TRUE	TRUE
128866	6	C07	-4.42	11	116	0.00165853076034552	1	3	3	100	128866	CHMP4B	s43361	TRUE	TRUE
128866	8	C07	-3.22	12	167	0.00165853076034552	1	3	3	100	128866	CHMP4B	s43363	TRUE	TRUE
128866	7	C07	-1.85	13	337	0.00165853076034552	1	3	3	100	128866	CHMP4B	s43362	TRUE	TRUE
4000	8	G21	-4.97	16	93	0.00219502591494094	1	3	3	100	4000	LMNA	s8223	TRUE	TRUE
4000	6	G21	-3.13	17	176	0.00219502591494094	1	3	3	100	4000	LMNA	s8221	TRUE	TRUE
4000	7	G21	-1.68	18	370	0.00219502591494094	1	3	3	100	4000	LMNA	s8222	TRUE	TRUE
9212	2	E06	-5.55	19	85	0.00243461903597816	1	3	3	100	9212	AURKB	s17611	TRUE	TRUE
9212	1	E06	-3.04	20	185	0.00243461903597816	1	3	3	100	9212	AURKB	s17612	TRUE	TRUE
9212	3	E06	-1.63	21	384	0.00243461903597816	1	3	3	100	9212	AURKB	s17613	TRUE	TRUE
151648	6	D12	-10.88	44	28	0.00693802192553278	1	3	3	100	151648	SGOL1	s45599	TRUE	TRUE
151648	8	D12	-7.87	45	47	0.00693802192553278	1	3	3	100	151648	SGOL1	s45601	TRUE	TRUE
151648	7	D12	-1.17	46	544	0.00693802192553278	1	3	3	100	151648	SGOL1	s45600	FALSE	TRUE
9570	7	I16	-2.45	53	235	0.00908229818287271	1	3	3	100	9570	GOSR2	s18384	TRUE	TRUE
9570	8	I16	-1.74	54	353	0.00908229818287271	1	3	3	100	9570	GOSR2	s18385	TRUE	TRUE
9570	6	I16	-1.05	55	588	0.00908229818287271	1	3	3	100	9570	GOSR2	s18383	FALSE	TRUE
54491	7	H19	-2.44	65	239	0.0112537851947669	1	3	3	100	54491	FAM105A	s29068	TRUE	TRUE
54491	6	H19	-2.02	66	300	0.0112537851947669	1	3	3	100	54491	FAM105A	s29067	TRUE	TRUE
54491	8	H19	-0.96	67	637	0.0112537851947669	1	3	3	100	54491	FAM105A	s29069	FALSE	TRUE
23309	3	O02	-2.27	81	259	0.0129171310675659	1	3	3	100	23309	SIN3B	s23527	TRUE	TRUE
23309	2	O02	-1.53	82	406	0.0129171310675659	1	3	3	100	23309	SIN3B	s23528	TRUE	TRUE
23309	1	O02	-0.9	83	669	0.0129171310675659	1	3	3	100	23309	SIN3B	s23529	FALSE	TRUE
80012	5	M17	-2.54	110	225	0.0173475966648685	1	3	3	100	80012	PHC3	s36818	TRUE	TRUE
80012	4	N17	-2.18	111	273	0.0173475966648685	1	3	3	100	80012	PHC3	s36819	TRUE	TRUE
80012	4	M17	-0.76	112	738	0.0173475966648685	1	3	3	100	80012	PHC3	s36817	FALSE	TRUE
165918	5	O06	-3.85	125	135	0.0208591846725334	1	3	3	100	165918	RNF168	s46601	TRUE	TRUE
165918	5	P05	-2.37	126	245	0.0208591846725334	1	3	3	100	165918	RNF168	s46599	TRUE	TRUE
163589	5	C06	-2.35	129	247	0.0215258714299463	1	3	3	100	163589	TDRD5	s46463	TRUE	TRUE
163589	4	C06	-2.34	130	248	0.0215258714299463	1	3	3	100	163589	TDRD5	s46462	TRUE	TRUE
257218	4	C14	-2.48	132	233	0.0220323040478508	1	3	3	100	257218	SHPRH	s48875	TRUE	TRUE
257218	5	D13	-2.32	133	251	0.0220323040478508	1	3	3	100	257218	SHPRH	s48876	TRUE	TRUE
80816	4	O01	-3.22	135	168	0.0227160775772271	1	3	3	100	80816	ASXL3	s37401	TRUE	TRUE
80816	4	P01	-2.29	136	256	0.0227160775772271	1	3	3	100	80816	ASXL3	s37403	TRUE	TRUE
10982	8	B02	-1.83	151	341	0.025593101417951	1	3	3	100	10982	MAPRE2	s21623	TRUE	TRUE
10982	6	B02	-1.52	152	409	0.025593101417951	1	3	3	100	10982	MAPRE2	s21621	TRUE	TRUE
10982	7	B02	-0.63	153	834	0.025593101417951	1	3	3	100	10982	MAPRE2	s21622	FALSE	TRUE
51773	4	J11	-3.73	156	146	0.0260961466345356	1	3	3	100	51773	RSF1	s28649	TRUE	TRUE
51773	4	I11	-2.17	157	274	0.0260961466345356	1	3	3	100	51773	RSF1	s28648	TRUE	TRUE
6795	1	M13	-2.77	167	202	0.0275840696845591	1	3	3	100	6795	AURKC	s13582	TRUE	TRUE
6795	3	M13	-2.13	168	281	0.0275840696845591	1	3	3	100	6795	AURKC	s13584	TRUE	TRUE
5252	1	N10	-2.66	171	214	0.0283422880401799	1	3	3	100	5252	PHF1	s10435	TRUE	TRUE
5252	3	N10	-2.11	172	286	0.0283422880401799	1	3	3	100	5252	PHF1	s10434	TRUE	TRUE
23338	4	E19	-2.27	192	260	0.0326806973404825	1	3	3	100	23338	PHF15	s23596	TRUE	TRUE
23338	4	F19	-2	193	307	0.0326806973404825	1	3	3	100	23338	PHF15	s23597	TRUE	TRUE
55693	2	J03	-3.34	194	166	0.0328716606598414	1	3	3	100	55693	KDM4D	s31268	TRUE	TRUE
55693	3	J03	-2.21	195	265	0.0328716606598414	1	3	3	100	55693	KDM4D	s31267	TRUE	TRUE
55693	1	J03	-0.53	196	904	0.0328716606598414	1	3	3	100	55693	KDM4D	s31266	FALSE	TRUE
4299	1	L20	-3.46	208	160	0.03508204402481	1	3	3	100	4299	AFF1	s8825	TRUE	TRUE
4299	3	L20	-2.58	209	220	0.03508204402481	1	3	3	100	4299	AFF1	s8824	TRUE	TRUE
4299	2	L20	-0.51	210	929	0.03508204402481	1	3	3	100	4299	AFF1	s8823	FALSE	TRUE
387893	3	J08	-5.17	225	89	0.0395505378040935	1	3	3	100	387893	SETD8	s51989	TRUE	TRUE
