GeneID	GeneSymbol	median_score
151648	SGOL1	-28.16
7272	TTK	-17.16
9212	AURKB	-13.24
4085	MAD2L1	-12.42
701	BUB1B	-11.52
983	CDC2	-10.66
113130	CDCA5	-6.34
1111	CHEK1	-4.81
5685	PSMA4	-4.41
6790	AURKA	-4.26
128866	CHMP4B	-4.13
165918	RNF168	-3.87
4000	LMNA	-3.4
7994	MYST3	-3.08
80816	ASXL3	-3.03
10891	PPARGC1A	-2.99
1788	DNMT3A	-2.77
51225	ABI3	-2.76
55585	UBE2Q1	-2.68
6795	AURKC	-2.63
84759	PCGF1	-2.61
55693	KDM4D	-2.52
54491	FAM105A	-2.51
29072	SETD2	-2.47
57680	CHD8	-2.47
23165	NUP205	-2.41
11284	PNKP	-2.37
51773	RSF1	-2.27
22845	DOLK	-2.21
29028	ATAD2	-2.15
4299	AFF1	-2.11
257218	SHPRH	-2.09
2138	EYA1	-2.05
3684	ITGAM	-2.01
9557	CHD1L	-2.01
51588	PIAS4	-1.97
54947	LPCAT2	-1.94
5885	RAD21	-1.93
5111	PCNA	-1.87
163589	TDRD5	-1.8
9570	GOSR2	-1.8
408	ARRB1	-1.79
27005	USP21	-1.77
326	AIRE	-1.73
10592	SMC2	-1.71
4236	MFAP1	-1.69
9317	PTER	-1.68
57062	DDX24	-1.64
2122	EVI1	-1.62
8208	CHAF1B	-1.6
57132	CHMP1B	-1.59
10051	SMC4	-1.58
9866	TRIM66	-1.56
23338	PHF15	-1.54
80012	PHC3	-1.54
9611	NCOR1	-1.52
83933	HDAC10	-1.51
3622	ING2	-1.51
5002	SLC22A18	-1.5
6612	SUMO3	-1.46
84148	MYST1	-1.44
55193	PBRM1	-1.43
91646	TDRD12	-1.4
79823	C2orf34	-1.4
10228	STX6	-1.39
23636	NUP62	-1.38
23399	DULLARD	-1.37
23030	KDM4B	-1.325
11000	SLC27A3	-1.31
3720	JARID2	-1.3
387893	SETD8	-1.3
100137047	JMJD7	-1.28
9818	NUPL1	-1.25
80312	TET1	-1.22
55706	TMEM48	-1.22
387103	C6orf173	-1.22
6599	SMARCC1	-1.19
25777	SUN2	-1.19
11108	PRDM4	-1.17
60	ACTB	-1.17
11240	PADI2	-1.15
9112	MTA1	-1.13
93611	FBXO44	-1.13
116143	WDR92	-1.13
29781	NCAPH2	-1.12
6596	HLTF	-1.11
1487	CTBP1	-1.11
51009	DERL2	-1.11
7466	WFS1	-1.08
