GeneID	GeneSymbol	median_score
4000	LMNA	-3.77
57661	PHRF1	-3.06
64324	NSD1	-1.75
1387	CREBBP	-1.62
22976	PAXIP1	-1.61
170575	GIMAP1	-1.6
400966	RGPD1	-1.54
27314	RAB30	-1.49
25777	SUN2	-1.48
79142	PHF23	-1.45
51343	FZR1	-1.45
6601	SMARCC2	-1.43
6597	SMARCA4	-1.39
64327	LMBR1	-1.36
3799	KIF5B	-1.33
4673	NAP1L1	-1.31
2962	GTF2F1	-1.31
55274	PHF10	-1.3
79823	C2orf34	-1.27
7112	TMPO	-1.24
7324	UBE2E1	-1.23
23522	KAT6B	-1.2
56980	PRDM10	-1.2
2033	EP300	-1.2
51510	CHMP5	-1.19
6612	SUMO3	-1.17
5580	PRKCD	-1.16
116173	CMTM5	-1.14
8417	STX7	-1.14
122402	TDRD9	-1.13
63977	PRDM15	-1.13
23410	SIRT3	-1.12
2648	KAT2A	-1.12
54737	MPHOSPH8	-1.1
11177	BAZ1A	-1.09
6883	TAF12	-1.08
26168	SENP3	-1.06
10857	PGRMC1	-1.06
256979	SUN3	-1.05
203547	NA	-1.04
161176	SYNE3	-1.03
257218	SHPRH	-1.03
2145	EZH1	-1.02
22992	FBXL11	-0.99
4675	NAP1L3	-0.99
5903	RANBP2	-0.99
23408	SIRT5	-0.99
4665	NAB2	-0.98
10195	ALG3	-0.97
23133	PHF8	-0.97
81550	TDRD3	-0.97
23424	TDRD7	-0.96
51131	PHF11	-0.95
26998	FETUB	-0.94
57338	JPH3	-0.94
2289	FKBP5	-0.94
23013	SPEN	-0.94
84790	TUBA1C	-0.93
80205	CHD9	-0.93
4674	NAP1L2	-0.91
254013	C12orf72	-0.91
7799	PRDM2	-0.9
151636	DTX3L	-0.9
29781	NCAPH2	-0.9
8681	JMJD7-PLA2G4B	-0.89
10445	MCRS1	-0.89
90268	FAM105B	-0.89
6602	SMARCD1	-0.88
114803	MYSM1	-0.88
51588	PIAS4	-0.88
7158	TP53BP1	-0.87
