GeneID	Plate	Well	Score	RSARank	ScoreRank	PValue	RSAHit	#HitWell	#TotalWell	%HitWell	i.GeneID	GeneSymbol	siRNAID	Flag	Flag2
983	3	A19	18.83	1	1	1.03894208865735e-09	1	3	3	100	983	CDC2	s463	TRUE	TRUE
983	1	A19	14.22	2	2	1.03894208865735e-09	1	3	3	100	983	CDC2	s464	TRUE	TRUE
983	2	A19	11.66	3	4	1.03894208865735e-09	1	3	3	100	983	CDC2	s465	TRUE	TRUE
23165	8	D11	6.14	4	9	3.99992704133076e-07	1	3	3	100	23165	NUP205	s23177	TRUE	TRUE
23165	7	D11	5.15	5	18	3.99992704133076e-07	1	3	3	100	23165	NUP205	s23176	TRUE	TRUE
23165	6	D11	4.97	6	22	3.99992704133076e-07	1	3	3	100	23165	NUP205	s23175	TRUE	TRUE
7514	8	O01	5.64	7	15	6.75650013806087e-05	1	3	3	100	7514	XPO1	s14939	TRUE	TRUE
7514	7	O01	3.74	8	81	6.75650013806087e-05	1	3	3	100	7514	XPO1	s14938	TRUE	TRUE
7514	6	O01	3.36	9	117	6.75650013806087e-05	1	3	3	100	7514	XPO1	s14937	TRUE	TRUE
1642	5	H09	4.88	10	24	6.93275666340159e-05	1	3	3	100	1642	DDB1	s3979	TRUE	TRUE
1642	5	G10	4.4	11	40	6.93275666340159e-05	1	3	3	100	1642	DDB1	s3981	TRUE	TRUE
1642	4	G10	3.36	12	118	6.93275666340159e-05	1	3	3	100	1642	DDB1	s3980	TRUE	TRUE
9688	8	A16	4.69	13	28	8.05502190756924e-05	1	3	3	100	9688	NUP93	s18655	TRUE	TRUE
9688	7	A16	4.46	14	39	8.05502190756924e-05	1	3	3	100	9688	NUP93	s18654	TRUE	TRUE
9688	6	A16	3.25	15	123	8.05502190756924e-05	1	3	3	100	9688	NUP93	s18653	TRUE	TRUE
6119	1	N20	4.34	16	42	0.000278552062067531	1	3	3	100	6119	RPA3	s12135	TRUE	TRUE
6119	2	N20	2.7	17	168	0.000278552062067531	1	3	3	100	6119	RPA3	s12134	TRUE	TRUE
6119	3	N20	2.53	18	184	0.000278552062067531	1	3	3	100	6119	RPA3	s12133	TRUE	TRUE
387893	3	J08	5.65	19	14	0.000488448753032406	1	3	3	100	387893	SETD8	s51989	TRUE	TRUE
387893	1	J08	4.51	20	37	0.000488448753032406	1	3	3	100	387893	SETD8	s51988	TRUE	TRUE
4928	8	M11	3.24	21	125	0.000644433700074766	1	3	3	100	4928	NUP98	s9784	TRUE	TRUE
4928	6	M11	3.04	22	144	0.000644433700074766	1	3	3	100	4928	NUP98	s9782	TRUE	TRUE
4928	7	M11	2.12	23	247	0.000644433700074766	1	3	3	100	4928	NUP98	s9783	TRUE	TRUE
