GeneID	Plate	Well	Score	RSARank	ScoreRank	PValue	RSAHit	#HitWell	#TotalWell	%HitWell	i.GeneID	GeneSymbol	siRNAID	Flag	Flag2
4000	7	G21	-4.17	1	92	6.25228792594217e-05	1	3	3	100	4000	LMNA	s8222	TRUE	TRUE
4000	8	G21	-3.24	2	111	6.25228792594217e-05	1	3	3	100	4000	LMNA	s8223	TRUE	TRUE
4000	6	G21	-3.19	3	114	6.25228792594217e-05	1	3	3	100	4000	LMNA	s8221	TRUE	TRUE
2122	3	E01	-2.04	18	202	0.00519250140964568	1	3	3	100	2122	EVI1	s4874	TRUE	TRUE
2122	2	E01	-1.76	19	266	0.00519250140964568	1	3	3	100	2122	EVI1	s4872	TRUE	TRUE
2122	1	E01	-1.16	20	493	0.00519250140964568	1	3	3	100	2122	EVI1	s4873	FALSE	TRUE
64324	3	N05	-2.39	26	163	0.00585043417353394	1	3	3	100	64324	NSD1	s34631	TRUE	TRUE
64324	1	N05	-2.26	27	172	0.00585043417353394	1	3	3	100	64324	NSD1	s34630	TRUE	TRUE
64324	2	N05	-1.12	28	510	0.00585043417353394	1	3	3	100	64324	NSD1	s34629	FALSE	TRUE
57132	8	N17	-2.96	37	121	0.00746667701933612	1	3	3	100	57132	CHMP1B	s32753	TRUE	TRUE
57132	6	N17	-2.59	38	145	0.00746667701933612	1	3	3	100	57132	CHMP1B	s32751	TRUE	TRUE
23030	2	M12	-3.66	48	103	0.00862370285826282	1	3	3	100	23030	KDM4B	s229325	TRUE	TRUE
23030	3	M12	-2.47	49	156	0.00862370285826282	1	3	3	100	23030	KDM4B	s229326	TRUE	TRUE
7994	3	O21	-2.73	51	134	0.00884266346034554	1	3	3	100	7994	MYST3	s15534	TRUE	TRUE
7994	2	O21	-2.45	52	158	0.00884266346034554	1	3	3	100	7994	MYST3	s15532	TRUE	TRUE
23492	2	O16	-1.68	53	289	0.00908229818287271	1	3	3	100	23492	CBX7	s23927	TRUE	TRUE
23492	1	O16	-1.51	54	335	0.00908229818287271	1	3	3	100	23492	CBX7	s23926	TRUE	TRUE
23492	3	O16	-1	55	594	0.00908229818287271	1	3	3	100	23492	CBX7	s23925	FALSE	TRUE
60	7	C12	-2.8	65	127	0.011148281476147	1	3	3	100	60	ACTB	s230681	TRUE	TRUE
60	6	C12	-1.61	66	307	0.011148281476147	1	3	3	100	60	ACTB	s230680	TRUE	TRUE
60	8	C12	-0.94	67	634	0.011148281476147	1	3	3	100	60	ACTB	s230682	FALSE	TRUE
1059	6	I20	-2.08	113	195	0.018649953148818	1	3	3	100	1059	CENPB	s2909	TRUE	TRUE
1059	8	I20	-1.62	114	305	0.018649953148818	1	3	3	100	1059	CENPB	s2911	TRUE	TRUE
1059	7	I20	-0.74	115	753	0.018649953148818	1	3	3	100	1059	CENPB	s2910	FALSE	TRUE
2033	1	C19	-2.53	173	147	0.0294973430085198	1	3	3	100	2033	EP300	s4696	TRUE	TRUE
2033	2	C19	-1.67	174	294	0.0294973430085198	1	3	3	100	2033	EP300	s4697	TRUE	TRUE
340061	8	H14	-1.83	195	247	0.0370370004816537	1	3	3	100	340061	TMEM173	s50646	TRUE	TRUE
340061	6	H14	-1.71	196	280	0.0370370004816537	1	3	3	100	340061	TMEM173	s50644	TRUE	TRUE
340061	7	H14	-0.51	197	949	0.0370370004816537	1	3	3	100	340061	TMEM173	s50645	FALSE	TRUE
6604	3	P08	-1.9	210	231	0.0397127682743843	1	3	3	100	6604	SMARCD3	s13157	TRUE	TRUE
6604	1	P08	-1.51	211	336	0.0397127682743843	1	3	3	100	6604	SMARCD3	s13159	TRUE	TRUE
4927	8	K01	-2.79	524	128	0.118910864797379	1	3	3	100	4927	NUP88	s9781	TRUE	TRUE
4927	7	K01	-1.85	525	241	0.118910864797379	1	3	3	100	4927	NUP88	s9780	TRUE	TRUE
4927	6	K01	-0.09	526	1401	0.118910864797379	1	3	3	100	4927	NUP88	s9779	FALSE	TRUE
79823	3	P01	-3.81	642	99	0.149199821497575	1	3	3	100	79823	C2orf34	s36415	TRUE	TRUE
79823	2	P01	-1.79	643	258	0.149199821497575	1	3	3	100	79823	C2orf34	s36414	TRUE	TRUE
79823	1	P01	-0.01	644	1509	0.149199821497575	1	3	3	100	79823	C2orf34	s36416	FALSE	TRUE
2033	3	C19	0.21	2181	2181	0.0294973430085198	0	3	3	100	2033	EP300	s4695	FALSE	TRUE
23030	1	M12	0.87	2181	2181	0.00862370285826282	0	3	3	100	23030	JMJD2B	s22867	FALSE	TRUE
57132	7	N17	0.07	2181	2181	0.00746667701933612	0	3	3	100	57132	CHMP1B	s32752	FALSE	TRUE
6604	2	P08	0.16	2181	2181	0.0397127682743843	0	3	3	100	6604	SMARCD3	s13158	FALSE	TRUE
7994	1	O21	0.58	2181	2181	0.00884266346034554	0	3	3	100	7994	MYST3	s15533	FALSE	TRUE
