GeneID	GeneSymbol	median_score
1788	DNMT3A	-2.68
7172	TPMT	-2.6
4928	NUP98	-2.46
5685	PSMA4	-2.39
983	CDC2	-2.35
79415	C17orf62	-2.32
7514	XPO1	-2.29
9688	NUP93	-2.21
10569	SLU7	-2.18
8535	CBX4	-2.14
8794	TNFRSF10C	-2.1
23636	NUP62	-2.06
7586	ZKSCAN1	-2.04
9818	NUPL1	-1.99
3621	ING1	-1.95
79041	TMEM38A	-1.94
6598	SMARCB1	-1.93
23476	BRD4	-1.89
23165	NUP205	-1.88
10285	SMNDC1	-1.87
54475	NLE1	-1.8
2091	FBL	-1.79
8450	CUL4B	-1.76
9126	SMC3	-1.75
84844	PHF5A	-1.74
4236	MFAP1	-1.74
65991	FUNDC2	-1.7
9212	AURKB	-1.68
23335	WDR7	-1.64
6790	AURKA	-1.6
54491	FAM105A	-1.59
57085	AGTRAP	-1.59
8480	RAE1	-1.59
8243	SMC1A	-1.58
9682	KDM4A	-1.55
54892	NCAPG2	-1.55
57222	ERGIC1	-1.52
57062	DDX24	-1.51
23429	RYBP	-1.5
91133	L3MBTL4	-1.5
2733	GLE1	-1.5
642636	NA	-1.49
92421	CHMP4C	-1.47
256380	SCML4	-1.47
1107	CHD3	-1.45
10228	STX6	-1.45
157753	TMEM74	-1.43
11262	SP140	-1.42
55717	BRWD2	-1.42
4174	MCM5	-1.42
5977	DPF2	-1.42
23345	SYNE1	-1.41
10943	MSL3	-1.38
7272	TTK	-1.38
138151	NACC2	-1.35
1642	DDB1	-1.35
5431	POLR2B	-1.34
8110	DPF3	-1.34
9913	SUPT7L	-1.33
10490	VTI1B	-1.32
57661	PHRF1	-1.31
79184	BRCC3	-1.29
55806	HR	-1.26
57634	EP400	-1.26
55929	DMAP1	-1.25
10036	CHAF1A	-1.25
1108	CHD4	-1.24
55677	IWS1	-1.23
56164	STK31	-1.23
51547	SIRT7	-1.23
56165	TDRD1	-1.21
6749	SSRP1	-1.21
10735	STAG2	-1.2
56950	SMYD2	-1.19
60	ACTB	-1.17
63978	PRDM14	-1.16
27125	AFF4	-1.16
10013	HDAC6	-1.15
390245	NA	-1.15
79885	HDAC11	-1.14
11083	DIDO1	-1.13
201562	PTPLB	-1.1
84678	KDM2B	-1.09
23279	NUP160	-1.09
6881	TAF10	-1.09
4927	NUP88	-1.08
55139	ANKZF1	-1.08
113130	CDCA5	-1.08
3065	HDAC1	-1.06
57325	CSRP2BP	-1.06
3684	ITGAM	-1.05
80218	NAA50	-1.04
26108	PYGO1	-1.03
5885	RAD21	-1.02
10318	TNIP1	-1.02
63976	PRDM16	-1.02
84233	TMEM126A	-1.01
10237	SLC35B1	-1.01
5905	RANGAP1	-0.99
1789	DNMT3B	-0.98
10668	CGRRF1	-0.98
11240	PADI2	-0.97
79663	HSPBAP1	-0.97
57462	KIAA1161	-0.97
676	BRDT	-0.97
10051	SMC4	-0.97
140690	CTCFL	-0.96
11097	NUPL2	-0.95
160418	TMTC3	-0.95
151648	SGOL1	-0.95
4085	MAD2L1	-0.95
196541	METTL21C	-0.95
83860	TAF3	-0.94
84522	JAGN1	-0.93
81671	TMEM49	-0.93
148581	UBE2U	-0.93
57142	RTN4	-0.92
255043	TMEM86B	-0.9
6500	SKP1	-0.9
81565	NDEL1	-0.9
7334	UBE2N	-0.89
88	ACTN2	-0.89
3275	PRMT2	-0.89
10389	SCML2	-0.88
54904	WHSC1L1	-0.88
79677	SMC6	-0.88
26122	EPC2	-0.88
7443	VRK1	-0.88
57122	NUP107	-0.87
11332	ACOT7	-0.87
54934	C12orf41	-0.86
9031	BAZ1B	-0.86
23338	PHF15	-0.85
54968	TMEM70	-0.85
9557	CHD1L	-0.85
83590	TMUB1	-0.85
9129	PRPF3	-0.84
55683	KIAA1310	-0.84
51317	PHF21A	-0.84
86	ACTL6A	-0.82
9631	NUP155	-0.82
9734	HDAC9	-0.79
4302	MLLT6	-0.79
387893	SETD8	-0.78
5252	PHF1	-0.76
2139	EYA2	-0.76
53371	NUP54	-0.75
8165	AKAP1	-0.74
84456	L3MBTL3	-0.72
5111	PCNA	-0.72
84236	RHBDD1	-0.71
84289	ING5	-0.7
84148	MYST1	-0.7
23246	BOP1	-0.7
340061	TMEM173	-0.69
84759	PCGF1	-0.69
309	ANXA6	-0.68
81929	SEH1L	-0.67
6015	RING1	-0.67
7341	SUMO1	-0.67
57649	PHF12	-0.66
11000	SLC27A3	-0.66
401265	KLHL31	-0.66
8932	MBD2	-0.66
11091	WDR5	-0.65
7403	UTX	-0.65
30	ACAA1	-0.65
84787	SUV420H2	-0.64
373509	USP50	-0.64
7468	WHSC1	-0.64
56979	PRDM9	-0.64
8289	ARID1A	-0.64
121536	AEBP2	-0.63
10948	STARD3	-0.63
6605	SMARCE1	-0.63
9972	NUP153	-0.62
51720	UIMC1	-0.61
9730	VPRBP	-0.61
100137047	JMJD7	-0.6
6299	SALL1	-0.6
706	TSPO	-0.6
27230	SERP1	-0.59
55080	TAPBPL	-0.59
51147	ING4	-0.58
10524	KAT5	-0.58
2705	GJB1	-0.57
