GeneID	GeneSymbol	median_score
57661	PHRF1	-3.58
4001	LMNB1	-3.5
56980	PRDM10	-2.06
203547	NA	-2.05
4665	NAB2	-1.96
2648	KAT2A	-1.94
64324	NSD1	-1.91
22976	PAXIP1	-1.91
1387	CREBBP	-1.8
27314	RAB30	-1.78
2033	EP300	-1.77
55274	PHF10	-1.64
27348	TOR1B	-1.45
400966	RGPD1	-1.42
29028	ATAD2	-1.41
6597	SMARCA4	-1.36
22955	SCMH1	-1.35
170575	GIMAP1	-1.34
23013	SPEN	-1.32
25777	SUN2	-1.24
7466	WFS1	-1.23
79142	PHF23	-1.19
1312	COMT	-1.17
6119	RPA3	-1.13
23522	KAT6B	-1.09
57504	MTA3	-1.09
4673	NAP1L1	-1.09
6883	TAF12	-1.09
8681	JMJD7-PLA2G4B	-1.09
10445	MCRS1	-1.08
3799	KIF5B	-1.07
2122	EVI1	-1.05
10970	CKAP4	-1.05
11284	PNKP	-1.04
51510	CHMP5	-1.03
54737	MPHOSPH8	-1
6601	SMARCC2	-1
55193	PBRM1	-1
51343	FZR1	-1
8878	SQSTM1	-0.97
3840	KPNA4	-0.97
23410	SIRT3	-0.96
10195	ALG3	-0.96
8359	HIST1H4A	-0.96
11198	SUPT16H	-0.95
5903	RANBP2	-0.94
64327	LMBR1	-0.94
79643	CHMP6	-0.93
26092	TOR1AIP1	-0.92
90407	TMEM41A	-0.92
8028	MLLT10	-0.91
90268	FAM105B	-0.91
1106	CHD2	-0.91
6595	SMARCA2	-0.9
10567	RABAC1	-0.9
201254	STRA13	-0.9
2140	EYA3	-0.89
79823	C2orf34	-0.89
5580	PRKCD	-0.88
23424	TDRD7	-0.87
648	BMI1	-0.87
285877	NA	-0.87
63977	PRDM15	-0.86
7994	MYST3	-0.86
10269	ZMPSTE24	-0.85
4204	MECP2	-0.84
9063	PIAS2	-0.84
10982	MAPRE2	-0.84
54093	SETD4	-0.84
124359	CDYL2	-0.84
55063	ZCWPW1	-0.83
7799	PRDM2	-0.83
55151	TMEM38B	-0.82
7319	UBE2A	-0.82
84928	TMEM209	-0.81
51588	PIAS4	-0.81
22908	SACM1L	-0.8
84717	HDGFRP2	-0.8
80312	TET1	-0.8
55352	C17orf79	-0.8
6877	TAF5	-0.8
9759	HDAC4	-0.8
10075	HUWE1	-0.79
116173	CMTM5	-0.78
1787	TRDMT1	-0.78
10857	PGRMC1	-0.78
55904	KMT2E	-0.77
26168	SENP3	-0.76
8930	MBD4	-0.76
3703	STT3A	-0.76
8815	BANF1	-0.75
23133	PHF8	-0.75
7175	TPR	-0.75
8417	STX7	-0.74
5902	RANBP1	-0.74
80301	PLEKHO2	-0.73
200424	TET3	-0.73
5578	PRKCA	-0.72
23516	SLC39A14	-0.72
86	ACTL6A	-0.71
10336	PCGF3	-0.71
51322	WAC	-0.71
2289	FKBP5	-0.7
2145	EZH1	-0.69
22845	DOLK	-0.69
81550	TDRD3	-0.69
50810	HDGFRP3	-0.69
27243	CHMP2A	-0.69
29781	NCAPH2	-0.69
11335	CBX3	-0.69
25942	SIN3A	-0.69
6839	SUV39H1	-0.68
22992	FBXL11	-0.68
9678	PHF14	-0.68
23408	SIRT5	-0.68
79073	TMEM109	-0.68
122402	TDRD9	-0.67
10474	TADA3	-0.67
84108	PCGF6	-0.66
27097	TAF5L	-0.66
9575	CLOCK	-0.66
91646	TDRD12	-0.65
23569	PADI4	-0.65
5585	PKN1	-0.65
2962	GTF2F1	-0.65
7158	TP53BP1	-0.64
4675	NAP1L3	-0.64
387103	C6orf173	-0.63
23511	NUP188	-0.63
6604	SMARCD3	-0.62
56254	RNF20	-0.61
8019	BRD3	-0.61
80205	CHD9	-0.6
79152	FA2H	-0.6
10592	SMC2	-0.6
8841	HDAC3	-0.59
84333	PCGF5	-0.59
6843	VAMP1	-0.59
56895	AGPAT4	-0.59
92840	REEP6	-0.59
2146	EZH2	-0.59
6612	SUMO3	-0.59
26502	NARF	-0.59
93973	ACTR8	-0.59
90523	C6orf142	-0.59
79960	PHF17	-0.58
51522	TMEM14C	-0.58
6856	SYPL1	-0.58
54014	BRWD1	-0.58
8850	KAT2B	-0.58
114882	OSBPL8	-0.58
80854	SETD7	-0.58
254065	BRWD3	-0.57
6672	SP100	-0.57
9426	CDY2A	-0.57
55170	PRMT6	-0.57
126668	TDRD10	-0.56
27349	MCAT	-0.56
140732	SUN5	-0.55
1912	PHC2	-0.55
29774	NA	-0.55
9748	SLK	-0.55
4255	MGMT	-0.55
25840	METTL7A	-0.55
254013	C12orf72	-0.55
9219	MTA2	-0.54
7324	UBE2E1	-0.54
3229	HOXC13	-0.54
55848	C9orf46	-0.54
8086	AAAS	-0.54
11091	WDR5	-0.54
5927	KDM5A	-0.53
2073	ERCC5	-0.53
5926	ARID4A	-0.53
100101267	POM121C	-0.53
23304	UBR2	-0.53
10891	PPARGC1A	-0.53
84312	BRMS1L	-0.52
93380	MMGT1	-0.52
8520	HAT1	-0.52
51742	ARID4B	-0.52
123169	LEO1	-0.51
9682	KDM4A	-0.51
6917	TCEA1	-0.51
55869	HDAC8	-0.51
57680	CHD8	-0.49
83903	GSG2	-0.49
26147	PHF19	-0.49
51548	SIRT6	-0.49
1059	CENPB	-0.49
151636	DTX3L	-0.48
23399	DULLARD	-0.48
29095	ORMDL2	-0.48
23137	SMC5	-0.47
5987	TRIM27	-0.47
84661	DPY30	-0.47
144404	TMEM120B	-0.47
64431	ACTR6	-0.47
10014	HDAC5	-0.46
6801	STRN	-0.45
11160	ERLIN2	-0.45
51426	POLK	-0.45
10498	CARM1	-0.45
29943	PADI1	-0.45
65980	BRD9	-0.45
161176	SYNE3	-0.45
29994	BAZ2B	-0.45
55777	MBD5	-0.44
143884	CWF19L2	-0.44
11177	BAZ1A	-0.44
57132	CHMP1B	-0.43
114803	MYSM1	-0.43
5929	RBBP5	-0.42
79828	METTL8	-0.42
10771	ZMYND11	-0.42
4616	GADD45B	-0.41
55627	SMPD4	-0.41
3431	SP110	-0.41
55662	HIF1AN	-0.41
6942	TCF20	-0.41
1962	EHHADH	-0.41
257218	SHPRH	-0.41
6304	SATB1	-0.4
