GeneID	GeneSymbol	median_score
1111	CHEK1	-2.66
11083	DIDO1	-2.5
8794	TNFRSF10C	-2.44
983	CDC2	-2.39
9730	VPRBP	-2.37
151648	SGOL1	-2.08
6790	AURKA	-2.05
3065	HDAC1	-1.86
5111	PCNA	-1.79
4085	MAD2L1	-1.78
160418	TMTC3	-1.74
57062	DDX24	-1.71
53371	NUP54	-1.69
10228	STX6	-1.69
9219	MTA2	-1.62
5885	RAD21	-1.59
83590	TMUB1	-1.58
10498	CARM1	-1.57
158880	USP51	-1.56
9212	AURKB	-1.55
54556	ING3	-1.52
6749	SSRP1	-1.42
25988	HINFP	-1.39
22895	RPH3A	-1.37
161176	SYNE3	-1.35
3684	ITGAM	-1.35
5977	DPF2	-1.33
256380	SCML4	-1.32
23204	ARL6IP1	-1.32
8726	EED	-1.32
10285	SMNDC1	-1.29
701	BUB1B	-1.28
55717	BRWD2	-1.26
10569	SLU7	-1.26
84148	MYST1	-1.26
84864	MINA	-1.25
9913	SUPT7L	-1.25
165918	RNF168	-1.24
26054	SENP6	-1.22
54475	NLE1	-1.18
8289	ARID1A	-1.17
4174	MCM5	-1.17
23279	NUP160	-1.16
2733	GLE1	-1.15
5685	PSMA4	-1.13
123169	LEO1	-1.11
65991	FUNDC2	-1.11
55806	HR	-1.11
326	AIRE	-1.11
54892	NCAPG2	-1.11
9739	SETD1A	-1.11
4616	GADD45B	-1.1
2280	FKBP1A	-1.1
80335	WDR82	-1.09
91133	L3MBTL4	-1.08
27243	CHMP2A	-1.07
29072	SETD2	-1.07
56164	STK31	-1.06
84295	PHF6	-1.05
84522	JAGN1	-1.04
9767	PHF16	-1.04
63978	PRDM14	-1.04
152098	ZCWPW2	-1.03
29028	ATAD2	-1.02
6598	SMARCB1	-1.02
79415	C17orf62	-1.01
84678	KDM2B	-1
54491	FAM105A	-1
10891	PPARGC1A	-1
54934	C12orf41	-1
51547	SIRT7	-0.99
6942	TCF20	-0.98
5879	RAC1	-0.98
23409	SIRT4	-0.96
11091	WDR5	-0.96
5562	PRKAA1	-0.96
9611	NCOR1	-0.95
373509	USP50	-0.95
88	ACTN2	-0.94
55706	TMEM48	-0.94
1788	DNMT3A	-0.94
2139	EYA2	-0.93
83933	HDAC10	-0.93
23165	NUP205	-0.93
8314	BAP1	-0.92
201562	PTPLB	-0.92
8450	CUL4B	-0.92
84181	CHD6	-0.92
2959	GTF2B	-0.92
7272	TTK	-0.91
63976	PRDM16	-0.9
9734	HDAC9	-0.89
23335	WDR7	-0.89
80342	TRAF3IP3	-0.88
9513	FXR2	-0.87
6045	RNF2	-0.86
9063	PIAS2	-0.86
2091	FBL	-0.86
642636	NA	-0.86
3068	HDGF	-0.85
23429	RYBP	-0.84
54496	PRMT7	-0.84
23476	BRD4	-0.84
84912	SLC35B4	-0.83
121536	AEBP2	-0.83
3275	PRMT2	-0.83
4236	MFAP1	-0.83
56978	PRDM8	-0.83
6883	TAF12	-0.83
11240	PADI2	-0.82
79595	SAP130	-0.82
10592	SMC2	-0.82
54014	BRWD1	-0.82
11332	ACOT7	-0.82
11022	TDRKH	-0.81
23673	STX12	-0.8
27044	SND1	-0.8
142	PARP1	-0.79
