GeneID	Plate	Well	Score	RSARank	ScoreRank	PValue	RSAHit	#HitWell	#TotalWell	%HitWell	i.GeneID	GeneSymbol	siRNAID	Flag	Flag2
10569	8	N05	-12.12	1	97	5.01081769359437e-05	1	3	3	100	10569	SLU7	s20742	TRUE	TRUE
10569	7	N05	-8.43	2	105	5.01081769359437e-05	1	3	3	100	10569	SLU7	s20741	TRUE	TRUE
10569	6	N05	-8.41	3	106	5.01081769359437e-05	1	3	3	100	10569	SLU7	s20740	TRUE	TRUE
55706	7	B20	-8.18	4	108	0.000146094737829385	1	3	3	100	55706	TMEM48	s31303	TRUE	TRUE
55706	6	B20	-4.54	5	139	0.000146094737829385	1	3	3	100	55706	TMEM48	s31302	TRUE	TRUE
55706	8	B20	-4	6	151	0.000146094737829385	1	3	3	100	55706	TMEM48	s31304	TRUE	TRUE
5685	7	I04	-6.7	7	117	0.000311200557468065	1	3	3	100	5685	PSMA4	s230030	TRUE	TRUE
5685	8	I04	-6.51	8	120	0.000311200557468065	1	3	3	100	5685	PSMA4	s230031	TRUE	TRUE
5685	6	I04	-3.2	9	194	0.000311200557468065	1	3	3	100	5685	PSMA4	s230029	TRUE	TRUE
23165	7	D11	-3.8	11	159	0.000561792350310128	1	3	3	100	23165	NUP205	s23176	TRUE	TRUE
23165	6	D11	-3.28	12	190	0.000561792350310128	1	3	3	100	23165	NUP205	s23175	TRUE	TRUE
23165	8	D11	-2.78	13	236	0.000561792350310128	1	3	3	100	23165	NUP205	s23177	TRUE	TRUE
57661	4	N07	-28.01	14	20	0.000600825404580984	1	3	3	100	57661	PHRF1	s33543	TRUE	TRUE
57661	4	M07	-20.42	15	41	0.000600825404580984	1	3	3	100	57661	PHRF1	s33542	TRUE	TRUE
701	8	K19	-3.92	16	154	0.00102334133425406	1	3	3	100	701	BUB1B	s261	TRUE	TRUE
701	6	K19	-2.8	17	231	0.00102334133425406	1	3	3	100	701	BUB1B	s259	TRUE	TRUE
701	7	K19	-2.36	18	286	0.00102334133425406	1	3	3	100	701	BUB1B	s260	TRUE	TRUE
9682	3	E18	-42.9	19	2	0.00104488483740446	1	3	3	100	9682	KDM4A	s18637	TRUE	TRUE
9682	1	E18	-3.48	20	175	0.00104488483740446	1	3	3	100	9682	KDM4A	s18635	TRUE	TRUE
9682	2	E18	-2.32	21	290	0.00104488483740446	1	3	3	100	9682	KDM4A	s18636	TRUE	TRUE
983	3	A19	-22.08	23	32	0.00164207913938559	1	3	3	100	983	CDC2	s463	TRUE	TRUE
983	2	A19	-6.15	24	122	0.00164207913938559	1	3	3	100	983	CDC2	s465	TRUE	TRUE
983	1	A19	-2.02	25	336	0.00164207913938559	1	3	3	100	983	CDC2	s464	TRUE	TRUE
4000	8	G21	-3.54	26	170	0.0022105414979049	1	3	3	100	4000	LMNA	s8223	TRUE	TRUE
4000	7	G21	-2.95	27	213	0.0022105414979049	1	3	3	100	4000	LMNA	s8222	TRUE	TRUE
4000	6	G21	-1.76	28	370	0.0022105414979049	1	3	3	100	4000	LMNA	s8221	TRUE	TRUE
3838	6	I03	-3.75	29	160	0.00260756698343277	1	3	3	100	3838	KPNA2	s7920	TRUE	TRUE
3838	8	I03	-2.91	30	218	0.00260756698343277	1	3	3	100	3838	KPNA2	s7922	TRUE	TRUE
3838	7	I03	-1.69	31	393	0.00260756698343277	1	3	3	100	3838	KPNA2	s7921	TRUE	TRUE
4236	8	O22	-4.04	33	149	0.00302739568939353	1	3	3	100	4236	MFAP1	s8708	TRUE	TRUE
4236	7	O22	-3.31	34	184	0.00302739568939353	1	3	3	100	4236	MFAP1	s8707	TRUE	TRUE
4236	6	O22	-1.62	35	413	0.00302739568939353	1	3	3	100	4236	MFAP1	s8706	TRUE	TRUE
9688	7	A16	-2.89	36	220	0.00327641400444233	1	3	3	100	9688	NUP93	s18654	TRUE	TRUE
9688	8	A16	-2.41	37	276	0.00327641400444233	1	3	3	100	9688	NUP93	s18655	TRUE	TRUE
9688	6	A16	-1.58	38	424	0.00327641400444233	1	3	3	100	9688	NUP93	s18653	TRUE	TRUE
113130	7	A07	-16.55	40	62	0.00386598766620316	1	2	3	67	113130	CDCA5	s41425	TRUE	TRUE
113130	6	A07	-8.63	41	104	0.00386598766620316	1	2	3	67	113130	CDCA5	s41424	TRUE	TRUE
642636	6	E02	-4.02	42	150	0.00446577308975339	1	3	3	100	642636		s55074	TRUE	TRUE
642636	8	E02	-3.83	43	158	0.00446577308975339	1	3	3	100	642636		s55076	TRUE	TRUE
642636	7	E02	-1.42	44	470	0.00446577308975339	1	3	3	100	642636		s55075	FALSE	TRUE
151648	6	D12	-14.48	45	86	0.0044781292280138	1	3	3	100	151648	SGOL1	s45599	TRUE	TRUE
151648	8	D12	-7.7	46	112	0.0044781292280138	1	3	3	100	151648	SGOL1	s45601	TRUE	TRUE
7272	6	O02	-8.37	47	107	0.00455772050354166	1	3	3	100	7272	TTK	s120	TRUE	TRUE
7272	7	O02	-7.55	48	113	0.00455772050354166	1	3	3	100	7272	TTK	s121	TRUE	TRUE
2033	2	C19	-2.59	51	250	0.00509291619611768	1	3	3	100	2033	EP300	s4697	TRUE	TRUE
2033	3	C19	-2.59	52	251	0.00509291619611768	1	3	3	100	2033	EP300	s4695	TRUE	TRUE
2033	1	C19	-1.37	53	490	0.00509291619611768	1	3	3	100	2033	EP300	s4696	FALSE	TRUE
9631	6	O08	-3.28	54	191	0.00521866195446309	1	3	3	100	9631	NUP155	s18512	TRUE	TRUE
9631	7	O08	-2.21	55	303	0.00521866195446309	1	3	3	100	9631	NUP155	s18513	TRUE	TRUE
9631	8	O08	-1.34	56	495	0.00521866195446309	1	3	3	100	9631	NUP155	s18514	FALSE	TRUE
676	3	A17	-29.49	58	16	0.0058330530856312	1	2	3	67	676	BRDT	s2086	TRUE	TRUE
676	2	A17	-5.44	59	128	0.0058330530856312	1	2	3	67	676	BRDT	s2087	TRUE	TRUE
8086	8	B22	-3.12	61	201	0.00720222577425903	1	3	3	100	8086	AAAS	s15609	TRUE	TRUE
8086	6	B22	-2.4	62	278	0.00720222577425903	1	3	3	100	8086	AAAS	s15607	TRUE	TRUE
8086	7	B22	-1.16	63	545	0.00720222577425903	1	3	3	100	8086	AAAS	s15608	FALSE	TRUE
23399	6	F04	-2.45	64	270	0.00732072465180054	1	3	3	100	23399	DULLARD	s23739	TRUE	TRUE
23399	7	F04	-2.17	65	309	0.00732072465180054	1	3	3	100	23399	DULLARD	s23740	TRUE	TRUE
23399	8	F04	-1.15	66	552	0.00732072465180054	1	3	3	100	23399	DULLARD	s23741	FALSE	TRUE
5903	6	J14	-3.31	69	185	0.0075616075308241	1	3	3	100	5903	RANBP2	s11773	TRUE	TRUE
5903	7	J14	-1.74	70	383	0.0075616075308241	1	3	3	100	5903	RANBP2	s11774	TRUE	TRUE
5903	8	J14	-1.14	71	557	0.0075616075308241	1	3	3	100	5903	RANBP2	s11775	FALSE	TRUE
23636	8	A02	-3.31	77	186	0.00866655361037384	1	3	3	100	23636	NUP62	s24249	TRUE	TRUE
23636	7	A02	-3.18	78	196	0.00866655361037384	1	3	3	100	23636	NUP62	s24248	TRUE	TRUE
23636	6	A02	-1.09	79	582	0.00866655361037384	1	3	3	100	23636	NUP62	s24247	FALSE	TRUE
84295	4	P09	-3.73	85	162	0.00949141233118453	1	3	3	100	84295	PHF6	s38847	TRUE	TRUE
84295	4	O09	-1.87	86	355	0.00949141233118453	1	3	3	100	84295	PHF6	s38846	TRUE	TRUE
84295	5	O09	-1.04	87	603	0.00949141233118453	1	3	3	100	84295	PHF6	s38848	FALSE	TRUE
8815	7	A05	-3.24	89	192	0.00997149708093221	1	3	3	100	8815	BANF1	s16808	TRUE	TRUE
8815	6	A05	-2.38	90	283	0.00997149708093221	1	3	3	100	8815	BANF1	s16807	TRUE	TRUE
8815	8	A05	-1	91	613	0.00997149708093221	1	3	3	100	8815	BANF1	s16809	FALSE	TRUE
