GeneID	GeneSymbol	median_score
3687	ITGAX	-2.29
10743	RAI1	-2.27
23409	SIRT4	-2.25
140836	BANF2	-2.17
55274	PHF10	-2.14
10982	MAPRE2	-2.01
203547	NA	-1.97
6046	BRD2	-1.9
10970	CKAP4	-1.83
8028	MLLT10	-1.66
27127	SMC1B	-1.57
6811	STX5	-1.57
51547	SIRT7	-1.56
2140	EYA3	-1.54
5002	SLC22A18	-1.48
7158	TP53BP1	-1.48
9757	KMT2B	-1.47
147007	TMEM199	-1.47
6396	SEC13	-1.47
126668	TDRD10	-1.45
1059	CENPB	-1.44
79073	TMEM109	-1.43
8359	HIST1H4A	-1.43
387103	C6orf173	-1.43
79823	C2orf34	-1.39
128866	CHMP4B	-1.37
64091	POPDC2	-1.36
23408	SIRT5	-1.35
648	BMI1	-1.34
29028	ATAD2	-1.33
5431	POLR2B	-1.31
6877	TAF5	-1.31
8473	OGT	-1.31
55848	C9orf46	-1.3
79813	EHMT1	-1.28
158358	KIAA2026	-1.28
64324	NSD1	-1.28
7466	WFS1	-1.28
158880	USP51	-1.21
55677	IWS1	-1.21
23013	SPEN	-1.21
51522	TMEM14C	-1.2
5902	RANBP1	-1.2
64431	ACTR6	-1.2
51105	PHF20L1	-1.19
1962	EHHADH	-1.18
84814	PPAPDC3	-1.16
400966	RGPD1	-1.16
163183	SYNE4	-1.15
283238	SLC22A24	-1.15
23468	CBX5	-1.13
51588	PIAS4	-1.13
9499	MYOT	-1.11
79053	ALG8	-1.1
23310	NCAPD3	-1.1
6594	SMARCA1	-1.08
11160	ERLIN2	-1.06
23516	SLC39A14	-1.05
255043	TMEM86B	-1.04
55209	SETD5	-1.02
8520	HAT1	-1.02
83933	HDAC10	-1.02
55585	UBE2Q1	-1.01
147991	DPY19L3	-1.01
4673	NAP1L1	-1.01
1787	TRDMT1	-1.01
93380	MMGT1	-1
4000	LMNA	-0.99
23306	TMEM194A	-0.99
57680	CHD8	-0.98
29072	SETD2	-0.97
7726	TRIM26	-0.96
9678	PHF14	-0.94
10891	PPARGC1A	-0.92
112885	PHF21B	-0.91
55151	TMEM38B	-0.91
10318	TNIP1	-0.9
10735	STAG2	-0.9
11198	SUPT16H	-0.9
23338	PHF15	-0.89
254013	C12orf72	-0.89
26993	AKAP8L	-0.89
51548	SIRT6	-0.89
84181	CHD6	-0.89
26092	TOR1AIP1	-0.88
6872	TAF1	-0.88
7403	UTX	-0.88
27443	CECR2	-0.87
10013	HDAC6	-0.87
2010	EMD	-0.86
1387	CREBBP	-0.85
1786	DNMT1	-0.84
10524	KAT5	-0.84
6856	SYPL1	-0.83
4600	MX2	-0.82
64598	MOSPD3	-0.82
7404	UTY	-0.81
8242	JARID1C	-0.81
79023	NUP37	-0.8
27314	RAB30	-0.79
22955	SCMH1	-0.78
23613	ZMYND8	-0.78
23030	KDM4B	-0.78
9063	PIAS2	-0.78
56262	LRRC8A	-0.78
6999	TDO2	-0.77
84193	SETD3	-0.77
25840	METTL7A	-0.77
3703	STT3A	-0.77
7324	UBE2E1	-0.76
55140	ELP3	-0.76
5630	PRPH	-0.76
9612	NCOR2	-0.76
55193	PBRM1	-0.76
84261	FBXW9	-0.75
91181	NUP210L	-0.75
57122	NUP107	-0.75
57132	CHMP1B	-0.74
51652	VPS24	-0.74
23410	SIRT3	-0.74
55683	KIAA1310	-0.74
26007	DAK	-0.74
5337	PLD1	-0.74
257218	SHPRH	-0.74
5585	PKN1	-0.73
10195	ALG3	-0.72
8295	TRRAP	-0.72
79677	SMC6	-0.71
51009	DERL2	-0.71
9759	HDAC4	-0.71
4644	MYO5A	-0.71
10075	HUWE1	-0.7
375056	MIA3	-0.7
11177	BAZ1A	-0.7
285877	NA	-0.69
2956	MSH6	-0.69
91646	TDRD12	-0.68
27348	TOR1B	-0.68
8850	KAT2B	-0.67
5252	PHF1	-0.67
79723	SUV39H2	-0.67
10419	PRMT5	-0.67
64327	LMBR1	-0.66
79828	METTL8	-0.65
54830	NUP62CL	-0.65
353238	PADI6	-0.65
2286	FKBP2	-0.64
9425	CDYL	-0.64
2033	EP300	-0.63
6883	TAF12	-0.63
8467	SMARCA5	-0.63
6843	VAMP1	-0.63
51702	PADI3	-0.63
9554	SEC22B	-0.62
23633	KPNA6	-0.61
4001	LMNB1	-0.6
8930	MBD4	-0.6
56943	ENY2	-0.6
23592	LEMD3	-0.6
55870	ASH1L	-0.59
9883	POM121	-0.59
11335	CBX3	-0.59
154807	VKORC1L1	-0.59
93081	C13orf27	-0.59
113130	CDCA5	-0.58
54880	BCOR	-0.58
29994	BAZ2B	-0.58
1105	CHD1	-0.58
80012	PHC3	-0.57
57136	APMAP	-0.57
10159	ATP6AP2	-0.57
254359	ZDHHC24	-0.57
23780	APOL2	-0.57
84108	PCGF6	-0.57
6314	ATXN7	-0.57
2145	EZH1	-0.57
1312	COMT	-0.56
25972	UNC50	-0.56
91782	CHMP7	-0.55
9341	VAMP3	-0.55
8019	BRD3	-0.55
2542	SLC37A4	-0.55
199953	TMEM201	-0.54
340061	TMEM173	-0.54
90780	PYGO2	-0.54
3431	SP110	-0.54
163589	TDRD5	-0.54
9575	CLOCK	-0.53
51773	RSF1	-0.52
3070	HELLS	-0.52
5579	PRKCB	-0.52
29943	PADI1	-0.51
90826	PRMT10	-0.51
64754	SMYD3	-0.51
56163	RNF17	-0.51
84102	SLC41A2	-0.51
953	ENTPD1	-0.51
63977	PRDM15	-0.51
27238	GPKOW	-0.51
221400	TDRD6	-0.5
9918	NCAPD2	-0.5
93973	ACTR8	-0.5
254065	BRWD3	-0.5
9682	KDM4A	-0.5
3836	KPNA1	-0.5
3066	HDAC2	-0.49
8289	ARID1A	-0.48
6599	SMARCC1	-0.48
57504	MTA3	-0.48
84444	DOT1L	-0.47
84975	MFSD5	-0.47
4012	LNPEP	-0.47
8834	TMEM11	-0.47
124359	CDYL2	-0.47
114826	SMYD4	-0.46
57332	CBX8	-0.45
221037	JMJD1C	-0.45
26578	OSTF1	-0.45
4675	NAP1L3	-0.44
114822	RHPN1	-0.44
8760	CDS2	-0.43
57634	EP400	-0.43
60343	FAM3A	-0.43
9869	SETDB1	-0.43
3054	HCFC1	-0.42
84717	HDGFRP2	-0.42
8681	JMJD7-PLA2G4B	-0.41
2289	FKBP5	-0.41
79885	HDAC11	-0.39
11262	SP140	-0.39
148581	UBE2U	-0.39
8986	RPS6KA4	-0.39
57552	AADACL1	-0.39
8202	NCOA3	-0.39
56926	NCLN	-0.38
931	MS4A1	-0.38
23304	UBR2	-0.38
9426	CDY2A	-0.38
10857	PGRMC1	-0.38
444	ASPH	-0.38
79918	SETD6	-0.37
5929	RBBP5	-0.37
3930	LBR	-0.37
9482	STX8	-0.37
10274	STAG1	-0.37
54799	MBTD1	-0.37
57337	SENP7	-0.36
83903	GSG2	-0.36
51426	POLK	-0.36
10734	STAG3	-0.36
55676	SLC30A6	-0.35
84065	TMEM222	-0.34
9748	SLK	-0.34
8314	BAP1	-0.34
6602	SMARCD1	-0.34
23492	CBX7	-0.33
4299	AFF1	-0.33
165918	RNF168	-0.33
112869	CCDC101	-0.33
10155	TRIM28	-0.33
93166	PRDM6	-0.33
6500	SKP1	-0.33
2122	EVI1	-0.32
23309	SIN3B	-0.32
114882	OSBPL8	-0.32
3839	KPNA3	-0.31
545	ATR	-0.31
23429	RYBP	-0.3
10490	VTI1B	-0.3
79913	ACTR5	-0.3
151194	FAM119A	-0.3
3937	LCP2	-0.3
10445	MCRS1	-0.3
29058	TMEM230	-0.3
7175	TPR	-0.3
54617	INO80	-0.3
54454	ATAD2B	-0.29
23774	BRD1	-0.29
23137	SMC5	-0.29
51225	ABI3	-0.29
6941	TCF19	-0.28
3720	JARID2	-0.28
22823	MTF2	-0.28
151648	SGOL1	-0.28
84332	DYDC2	-0.28
6871	TADA2A	-0.28
3895	KTN1	-0.27
57661	PHRF1	-0.27
54934	C12orf41	-0.27
55063	ZCWPW1	-0.27
79697	C14orf169	-0.26
639	PRDM1	-0.26
55170	PRMT6	-0.26
2648	KAT2A	-0.25
23067	SETD1B	-0.25
6299	SALL1	-0.25
10313	RTN3	-0.25
5355	PLP2	-0.25
23030	JMJD2B	-0.25
9219	MTA2	-0.24
7703	PCGF2	-0.24
6595	SMARCA2	-0.24
9252	RPS6KA5	-0.23
163590	TOR1AIP2	-0.23
7290	HIRA	-0.23
4221	MEN1	-0.23
55777	MBD5	-0.23
339123	JMJD8	-0.23
8815	BANF1	-0.22
55636	CHD7	-0.22
546	ATRX	-0.22
23081	JMJD2C	-0.22
80205	CHD9	-0.22
57673	BEND3	-0.21
151636	DTX3L	-0.21
221496	LEMD2	-0.21
93349	SP140L	-0.21
3622	ING2	-0.21
9972	NUP153	-0.21
57713	SFMBT2	-0.21
10498	CARM1	-0.2
23511	NUP188	-0.2
201254	STRA13	-0.2
10054	UBA2	-0.2
51111	SUV420H1	-0.2
6839	SUV39H1	-0.2
3799	KIF5B	-0.2
6795	AURKC	-0.19
80314	EPC1	-0.19
56980	PRDM10	-0.19
23339	VPS39	-0.19
11105	PRDM7	-0.19
51669	TMEM66	-0.18
79960	PHF17	-0.18
100101267	POM121C	-0.18
53615	MBD3	-0.18
6890	TAP1	-0.18
29947	DNMT3L	-0.18
29781	NCAPH2	-0.18
151393	FAM82A1	-0.17
83746	L3MBTL2	-0.17
10038	PARP2	-0.17
85365	ALG2	-0.16
9810	RNF40	-0.16
23439	ATP1B4	-0.16
2146	EZH2	-0.16
84333	PCGF5	-0.16
26147	PHF19	-0.15
30827	CXXC1	-0.15
729857	RGPD2	-0.15
55148	UBR7	-0.15
7108	TM7SF2	-0.15
9960	USP3	-0.15
23246	BOP1	-0.14
23399	DULLARD	-0.14
5903	RANBP2	-0.13
92421	CHMP4C	-0.13
9958	USP15	-0.13
6917	TCEA1	-0.13
59335	PRDM12	-0.12
51720	UIMC1	-0.12
2073	ERCC5	-0.11
64151	NCAPG	-0.11
58508	KMT2C	-0.11
80218	NAA50	-0.11
92840	REEP6	-0.11
5563	PRKAA2	-0.11
205564	SENP5	-0.11
22908	SACM1L	-0.11
8878	SQSTM1	-0.1
5110	PCMT1	-0.1
8972	MGAM	-0.1
5905	RANGAP1	-0.1
9870	AREL1	-0.1
90701	SEC11C	-0.1
56981	PRDM11	-0.09
9646	CTR9	-0.09
26998	FETUB	-0.09
10567	RABAC1	-0.09
51026	GOLT1B	-0.08
5897	RAG2	-0.08
10765	KDM5B	-0.08
138474	TAF1L	-0.08
27005	USP21	-0.08
6601	SMARCC2	-0.08
65094	JMJD4	-0.08
64755	C16orf58	-0.08
94026	POM121L2	-0.08
26168	SENP3	-0.07
116143	WDR92	-0.07
10336	PCGF3	-0.07
84661	DPY30	-0.07
55023	PHIP	-0.07
10098	TSPAN5	-0.07
1386	ATF2	-0.06
56341	PRMT8	-0.06
55929	DMAP1	-0.06
7319	UBE2A	-0.06
10474	TADA3	-0.06
51343	FZR1	-0.05
1643	DDB2	-0.04
10919	EHMT2	-0.04
9926	LPGAT1	-0.04
10629	TAF6L	-0.04
11108	PRDM4	-0.04
4665	NAB2	-0.04
5927	KDM5A	-0.04
3840	KPNA4	-0.04
26502	NARF	-0.03
23569	PADI4	-0.03
3015	H2AFZ	-0.03
23397	NCAPH	-0.03
3717	JAK2	-0.03
23353	UNC84A	-0.03
84790	TUBA1C	-0.03
90523	C6orf142	-0.03
55746	NUP133	-0.02
26122	EPC2	-0.02
5926	ARID4A	-0.02
7799	PRDM2	-0.02
7586	ZKSCAN1	-0.01
23522	KAT6B	-0.01
1468	SLC25A10	-0.01
8284	JARID1D	-0.01
10447	FAM3C	-0.01
55898	UNC45A	-0.01
10902	BRD8	-0.01
56978	PRDM8	-0.01
140690	CTCFL	-0.01
51097	SCCPDH	-0.01
675	BRCA2	-0.01
55693	KDM4D	-0.01
51592	TRIM33	-0.01
4297	MLL	0
84678	KDM2B	0
27243	CHMP2A	0
284058	KIAA1267	0
150572	SMYD1	0
79609	METTL21D	0
84656	NA	0
55266	TMEM19	0
5896	RAG1	0
4616	GADD45B	0
6844	VAMP2	0
2222	FDFT1	0
373509	USP50	0.01
116173	CMTM5	0.01
10771	ZMYND11	0.01
83862	TMEM120A	0.01
7334	UBE2N	0.01
10847	SRCAP	0.01
84148	MYST1	0.02
143241	DYDC1	0.02
11168	PSIP1	0.02
59336	PRDM13	0.02
23047	PDS5B	0.02
6801	STRN	0.03
138151	NACC2	0.03
6515	SLC2A3	0.03
55869	HDAC8	0.03
80854	SETD7	0.03
5119	CHMP1A	0.04
79415	C17orf62	0.04
2332	FMR1	0.04
84236	RHBDD1	0.04
9025	RNF8	0.04
22992	FBXL11	0.04
11176	BAZ2A	0.04
84912	SLC35B4	0.04
9570	GOSR2	0.04
90407	TMEM41A	0.04
991	CDC20	0.04
9070	ASH2L	0.04
27097	TAF5L	0.04
79577	CDC73	0.04
55340	GIMAP5	0.05
8193	DPF1	0.05
81550	TDRD3	0.05
9866	TRIM66	0.05
23135	KDM6B	0.05
89	ACTN3	0.05
