GeneID	Plate	Well	Score	RSARank	ScoreRank	PValue	RSAHit	#HitWell	#TotalWell	%HitWell	i.GeneID	GeneSymbol	siRNAID
4665	4	E10	-2.56	1	94	0.000208941643449878	1	3	3	100	4665	NAB2	s226682
4665	5	F09	-1.96	2	123	0.000208941643449878	1	3	3	100	4665	NAB2	s9247
4665	5	E10	-1.67	3	170	0.000208941643449878	1	3	3	100	4665	NAB2	s9249
4001	6	B13	-3.69	4	56	0.000292249214828867	1	3	3	100	4001	LMNB1	s8224
4001	7	B13	-3.5	5	68	0.000292249214828867	1	3	3	100	4001	LMNB1	s8225
4001	8	B13	-1.6	6	188	0.000292249214828867	1	3	3	100	4001	LMNB1	s8226
2648	3	E19	-3.87	8	50	0.000769653493987803	1	3	3	100	2648	KAT2A	s5657
2648	1	E19	-1.94	9	126	0.000769653493987803	1	3	3	100	2648	KAT2A	s5659
2648	2	E19	-1.3	10	258	0.000769653493987803	1	3	3	100	2648	KAT2A	s5658
57661	4	N07	-6.05	13	2	0.00156238578779752	1	2	3	67	57661	PHRF1	s33543
57661	4	M07	-3.58	14	66	0.00156238578779752	1	2	3	67	57661	PHRF1	s33542
203547	7	N10	-3.01	24	82	0.00488289327368903	1	2	3	67	203547		s47527
203547	8	N10	-2.05	25	117	0.00488289327368903	1	2	3	67	203547		s47528
64324	2	N05	-3.24	30	73	0.0060145850991626	1	3	3	100	64324	NSD1	s34629
64324	1	N05	-1.91	31	130	0.0060145850991626	1	3	3	100	64324	NSD1	s34630
90407	7	E21	-1.3	38	259	0.00810152651387068	1	3	3	100	90407	TMEM41A	s40368
90407	8	E21	-0.92	39	449	0.00810152651387068	1	3	3	100	90407	TMEM41A	s40369
90407	6	E21	-0.78	40	570	0.00810152651387068	1	3	3	100	90407	TMEM41A	s40367
54093	3	F13	-1.31	42	254	0.0084462277589875	1	3	3	100	54093	SETD4	s28859
54093	2	F13	-0.84	43	508	0.0084462277589875	1	3	3	100	54093	SETD4	s28857
54093	1	F13	-0.77	44	581	0.0084462277589875	1	3	3	100	54093	SETD4	s28858
124359	4	A14	-1.29	45	263	0.00862218558847773	1	3	3	100	124359	CDYL2	s42724
124359	5	B13	-0.84	46	509	0.00862218558847773	1	3	3	100	124359	CDYL2	s42725
124359	5	A14	-0.77	47	582	0.00862218558847773	1	3	3	100	124359	CDYL2	s42723
79823	3	P01	-1.82	48	138	0.00871107357755042	1	3	3	100	79823	C2orf34	s36415
79823	1	P01	-0.89	49	471	0.00871107357755042	1	3	3	100	79823	C2orf34	s36416
79823	2	P01	-0.76	50	587	0.00871107357755042	1	3	3	100	79823	C2orf34	s36414
6597	2	M03	-1.64	52	177	0.00911863367612176	1	3	3	100	6597	SMARCA4	s13141
6597	3	M03	-1.36	53	240	0.00911863367612176	1	3	3	100	6597	SMARCA4	s13139
6597	1	M03	-0.75	54	595	0.00911863367612176	1	3	3	100	6597	SMARCA4	s13140
27314	8	J03	-1.9	58	132	0.0101186154364545	1	3	3	100	27314	RAB30	s26138
27314	6	J03	-1.78	59	149	0.0101186154364545	1	3	3	100	27314	RAB30	s26136
27314	7	J03	-0.72	60	616	0.0101186154364545	1	3	3	100	27314	RAB30	s26137
10857	8	K09	-0.91	62	456	0.0102671737657115	1	3	3	100	10857	PGRMC1	s21311
10857	7	K09	-0.78	63	571	0.0102671737657115	1	3	3	100	10857	PGRMC1	s21312
10857	6	K09	-0.72	64	617	0.0102671737657115	1	3	3	100	10857	PGRMC1	s21310
51343	7	F08	-1.04	66	375	0.0107728580485237	1	3	3	100	51343	FZR1	s27992
51343	6	F08	-1	67	399	0.0107728580485237	1	3	3	100	51343	FZR1	s27991
51343	8	F08	-0.7	68	630	0.0107728580485237	1	3	3	100	51343	FZR1	s27993
1787	1	C13	-1.64	70	178	0.0109796916784757	1	3	3	100	1787	TRDMT1	s4219
1787	2	C13	-0.78	71	572	0.0109796916784757	1	3	3	100	1787	TRDMT1	s4218
1787	3	C13	-0.7	72	631	0.0109796916784757	1	3	3	100	1787	TRDMT1	s4220
55274	5	K01	-1.81	74	141	0.0115410076738382	1	2	3	67	55274	PHF10	s30608
55274	4	K01	-1.64	75	179	0.0115410076738382	1	2	3	67	55274	PHF10	s30607
7319	5	H21	-1.55	83	197	0.015428295211272	1	3	3	100	7319	UBE2A	s14565
7319	5	G22	-0.82	84	529	0.015428295211272	1	3	3	100	7319	UBE2A	s14566
7319	4	G22	-0.62	85	704	0.015428295211272	1	3	3	100	7319	UBE2A	s14567
9759	3	G06	-0.87	87	482	0.0160233230592627	1	3	3	100	9759	HDAC4	s227490
9759	2	G06	-0.8	88	547	0.0160233230592627	1	3	3	100	9759	HDAC4	s18837
9759	1	G06	-0.61	89	714	0.0160233230592627	1	3	3	100	9759	HDAC4	s57938
25942	3	B03	-0.98	92	414	0.0165649121417168	1	3	3	100	25942	SIN3A	s24799
25942	2	B03	-0.69	93	638	0.0165649121417168	1	3	3	100	25942	SIN3A	s24801
25942	1	B03	-0.6	94	724	0.0165649121417168	1	3	3	100	25942	SIN3A	s24800
