GeneID	GeneSymbol	median_score
4001	LMNB1	-3.86
57132	CHMP1B	-2.61
84108	PCGF6	-2.5
11160	ERLIN2	-2.26
10474	TADA3	-2.16
4927	NUP88	-2.13
6599	SMARCC1	-1.93
7994	MYST3	-1.81
4085	MAD2L1	-1.76
340061	TMEM173	-1.74
2033	EP300	-1.64
2073	ERCC5	-1.62
23030	KDM4B	-1.6
6597	SMARCA4	-1.59
54014	BRWD1	-1.55
5685	PSMA4	-1.54
100137047	JMJD7	-1.52
51720	UIMC1	-1.51
126668	TDRD10	-1.51
56980	PRDM10	-1.49
10498	CARM1	-1.47
6856	SYPL1	-1.46
64324	NSD1	-1.46
64598	MOSPD3	-1.45
60	ACTB	-1.44
80853	JHDM1D	-1.41
400966	RGPD1	-1.39
5931	RBBP7	-1.39
26038	CHD5	-1.38
1787	TRDMT1	-1.35
8242	JARID1C	-1.35
6604	SMARCD3	-1.33
29058	TMEM230	-1.32
30827	CXXC1	-1.31
10336	PCGF3	-1.3
79831	JMJD5	-1.29
1059	CENPB	-1.27
2648	KAT2A	-1.25
3937	LCP2	-1.24
387103	C6orf173	-1.24
7799	PRDM2	-1.23
5630	PRPH	-1.2
7586	ZKSCAN1	-1.2
11343	MGLL	-1.2
129401	NUP35	-1.17
29994	BAZ2B	-1.17
9688	NUP93	-1.16
9883	POM121	-1.15
56981	PRDM11	-1.15
80349	WDR61	-1.14
55585	UBE2Q1	-1.13
8878	SQSTM1	-1.13
23309	SIN3B	-1.12
255043	TMEM86B	-1.11
112885	PHF21B	-1.11
64327	LMBR1	-1.11
3703	STT3A	-1.1
56341	PRMT8	-1.09
8019	BRD3	-1.09
4674	NAP1L2	-1.08
92840	REEP6	-1.08
51322	WAC	-1.08
94026	POM121L2	-1.08
3431	SP110	-1.07
2122	EVI1	-1.07
57142	RTN4	-1.06
25840	METTL7A	-1.06
7175	TPR	-1.06
23492	CBX7	-1.06
163589	TDRD5	-1.05
57117	INTS12	-1.04
9759	HDAC4	-1.03
27005	USP21	-1.02
25942	SIN3A	-1.01
4665	NAB2	-1
57680	CHD8	-1
54947	LPCAT2	-1
6396	SEC13	-0.99
9958	USP15	-0.98
10054	UBA2	-0.98
8850	KAT2B	-0.97
93166	PRDM6	-0.97
124359	CDYL2	-0.97
11000	SLC27A3	-0.95
6880	TAF9	-0.95
83862	TMEM120A	-0.95
55063	ZCWPW1	-0.95
10943	MSL3	-0.94
79823	C2orf34	-0.93
2289	FKBP5	-0.93
7703	PCGF2	-0.93
3687	ITGAX	-0.93
9499	MYOT	-0.9
7862	BRPF1	-0.9
84814	PPAPDC3	-0.9
257218	SHPRH	-0.9
5002	SLC22A18	-0.89
23613	ZMYND8	-0.89
23439	ATP1B4	-0.88
1105	CHD1	-0.88
23512	SUZ12	-0.86
8021	NUP214	-0.86
27348	TOR1B	-0.85
201562	PTPLB	-0.85
93081	C13orf27	-0.85
9646	CTR9	-0.85
9219	MTA2	-0.84
201254	STRA13	-0.84
9818	NUPL1	-0.83
8473	OGT	-0.83
54491	FAM105A	-0.82
26998	FETUB	-0.82
9070	ASH2L	-0.82
